,NameID,AwardName,Year
0,nm2794962,WAFCA Award,2010
1,nm2794962,Actor,2011
2,nm2794962,Critics Choice Award,2011
3,nm2794962,Sierra Award,2010
4,nm2794962,Sierra Award,2010
5,nm2794962,CFCA Award,2010
6,nm2794962,CFCA Award,2010
7,nm2794962,ALFS Award,2011
8,nm2794962,AFCA Award,2010
9,nm2794962,TFCA Award,2010
10,nm2794962,PFCS Award,2010
11,nm2794962,PFCS Award,2010
12,nm2794962,KCFCC Award,2010
13,nm2794962,OFCS Award,2011
14,nm2794962,COFCA Award,2011
15,nm2794962,COFCA Award,2011
16,nm2794962,COFCA Award,2011
17,nm2794962,Critics Choice Award,2011
18,nm2794962,BAFTA Film Award,2011
19,nm2794962,PFCS Award,2010
20,nm2794962,SEFCA Award,2010
21,nm2794962,VFCC Award,2011
22,nm2794962,Oscar,2011
23,nm2794962,DFWFCA Award,2010
24,nm2794962,Young Artist Award,2011
25,nm2794962,Saturn Award,2011
26,nm2794962,MTV Movie Award,2011
27,nm2794962,Virtuoso Award,2011
28,nm2794962,Young Hollywood Award,2011
29,nm2794962,Teen Choice Award,2011
30,nm2794962,Empire Award,2012
31,nm2794962,Face of the Future,2013
32,nm2794962,Face of the Future Award,2013
33,nm2794962,IFC Award,2011
34,nm2794962,SLFCA Award,2010
35,nm2794962,EDA Award,2011
36,nm2794962,IFJA Award,2010
37,nm2794962,EDA Female Focus Award,2011
38,nm2794962,EDA Female Focus Award,2011
39,nm2794962,UFCA Award,2010
40,nm2794962,Bronze Wrangler,2011
41,nm2794962,OFTA Film Award,2011
42,nm2794962,OFTA Film Award,2011
43,nm2794962,OFTA Film Award,2011
44,nm2794962,Festival Award,2014
45,nm2794962,Golden Schmoes,2010
46,nm2794962,Golden Schmoes,2010
47,nm2794962,ACCA,2010
48,nm2794962,HFCS Award,2010
49,nm2794962,EDA Female Focus Award,2011
50,nm2794962,Davis Award,2010
51,nm2794962,Teen Choice Award,2015
52,nm2794962,WFCC Award,2014
53,nm2794962,BTVA Anime Dub Movie/Special Voice Acting Award,2016
54,nm2794962,BTVA Anime Dub Movie/Special Voice Acting Award,2016
55,nm2794962,Critics Choice Award,2016
56,nm2794962,Critics Choice Award,2016
57,nm2794962,WAFCA Award,2016
58,nm2794962,Golden Globe,2017
59,nm2794962,Sierra Award,2016
60,nm2794962,WFCC Award,2016
61,nm2794962,COFCA Award,2017
62,nm2794962,GMS Award,2016
63,nm2794962,Blimp Award,2017
64,nm2794962,INOCA,2011
65,nm2794962,MTV Movie + TV Award,2017
66,nm2794962,Teen Choice Award,2017
67,nm2794962,EDA Female Focus Award,2019
68,nm2794962,MTV Europe Music Award,2018
69,nm2794962,Blimp Award,2019
70,nm2794962,Teen Choice Award,2019
71,nm2794962,Saturn Award,2019
72,nm2794962,MTV Europe Music Award,2019
73,nm2794962,MTV Europe Music Award,2017
74,nm2794962,DFCC,2011
75,nm2794962,DFCC,2011
76,nm2794962,Teen Choice Award,2018
77,nm2794962,IFJA Award,2016
78,nm2794962,HCA TV Award,2021
79,nm5085683,Critics Choice Award,2018
80,nm5085683,WFCC Award,2017
81,nm5085683,PFCS Award,2017
82,nm5085683,PFCS Award,2017
83,nm5085683,OFTA Film Award,2018
84,nm5085683,OFTA Television Award,2019
85,nm5085683,HCA Award,2020
86,nm5085683,Primetime Emmy,2021
87,nm0683253,ALFS Award,2006
88,nm0683253,ALFS Award,2010
89,nm0683253,Actor,2010
90,nm0683253,Cinescape Genre Face of the Future Award,2003
91,nm0683253,Empire Award,2003
92,nm0683253,MTV Movie Award,2003
93,nm0683253,British Independent Film Award,2005
94,nm0683253,British Independent Film Award,2009
95,nm0683253,British Independent Film Award,2010
96,nm0683253,Satellite Award,2010
97,nm0683253,ALFS Award,2011
98,nm0683253,ALFS Award,2011
99,nm0683253,Genie,2011
100,nm0683253,Genie,2009
101,nm0683253,EDA Special Mention Award,2011
102,nm0683253,Lost Weekend Award,2014
103,nm0683253,Breakthrough Performance Award,2015
104,nm0683253,Satellite Award,2015
105,nm0683253,WAFCA Award,2014
106,nm0683253,Golden Globe,2015
107,nm0683253,Actor,2015
108,nm0683253,Virtuoso Award,2015
109,nm0683253,KCFCC Award,2014
110,nm0683253,IFJA Award,2014
111,nm0683253,Critics Choice Award,2015
112,nm0683253,ALFS Award,2015
113,nm0683253,PFCS Award,2014
114,nm0683253,PFCS Award,2014
115,nm0683253,AFCA Award,2014
116,nm0683253,FFCC Award,2014
117,nm0683253,CFCA Award,2014
118,nm0683253,DFCS Award,2014
119,nm0683253,SDFCS Award,2014
120,nm0683253,SLFCA Award,2014
121,nm0683253,DFWFCA Award,2014
122,nm0683253,UFCA Award,2014
123,nm0683253,GAFCA Award,2015
124,nm0683253,NTFCA Award,2015
125,nm0683253,COFCA Award,2015
126,nm0683253,OFCC Award,2015
127,nm0683253,IFC Award,2015
128,nm0683253,BAFTA Film Award,2015
129,nm0683253,EDA Award,2015
130,nm0683253,EDA Special Mention Award,2015
131,nm0683253,OFCS Award,2014
132,nm0683253,Oscar,2015
133,nm0683253,Dorian Award,2015
134,nm0683253,Sant Jordi,2015
135,nm0683253,COFCA Award,2015
136,nm0683253,DFCS Award,2015
137,nm0683253,OFTA Film Award,2015
138,nm0683253,ACCA,2014
139,nm0683253,ACCA,2009
140,nm0683253,GAFCA Award,2015
141,nm0683253,WIN Award,2014
142,nm0683253,INOCA,2015
143,nm0683253,CinEuphoria,2015
144,nm0683253,MTV Movie Award,2015
145,nm0683253,MTV Movie Award,2015
146,nm0683253,MTV Movie Award,2015
147,nm0683253,IOFCP Award,2015
148,nm0683253,Saturn Award,2015
149,nm0683253,Cinema Bloggers Award,2015
150,nm0683253,Empire Award,2015
151,nm0683253,ICP Award,2014
152,nm0683253,CCOP,2015
153,nm0683253,CCOP,2015
154,nm0683253,NCFCA Award,2015
155,nm0683253,Golden Schmoes,2014
156,nm0683253,Golden Schmoes,2014
157,nm0683253,Golden Schmoes,2014
158,nm0683253,Gold Derby Award,2015
159,nm0683253,PCC Award,2014
160,nm0683253,NFCS Award,2014
161,nm0683253,Gold Derby Award,2015
162,nm0683253,VVFP Award,2014
163,nm0683253,Seattle Film Critics Award,2015
164,nm0683253,Gold Derby Award,2015
165,nm0683253,AACTA International Award,2015
166,nm0683253,Georges Award,2015
167,nm0683253,Saturn Award,2018
168,nm0683253,Golden Globe,2019
169,nm0683253,Satellite Award,2019
170,nm0683253,NTFCA Award,2018
171,nm0683253,Primetime Emmy,2019
172,nm0683253,DFCC,2014
173,nm0683253,WIN Award,2020
174,nm0683253,Gold Derby Award,2020
175,nm0683253,Días de Cine Award,2015
176,nm0683253,Golden Globe,2021
177,nm0683253,American Film Award,2019
178,nm0683253,Best Actress,2020
179,nm0683253,iHeartRadio Podcast Award,2022
180,nm0683253,Top 10 Breakout Stars Award,2014
