,NameID,Name,TitleID,TitleName,TitleType
0,nm2794962,Hailee Steinfeld,tt9362722,Spider-Man: Across the Spider-Verse - Part One,movie
1,nm2794962,Hailee Steinfeld,tt5033998,Charlie's Angels,movie
2,nm2794962,Hailee Steinfeld,tt9398640,Between Two Ferns: The Movie,movie
3,nm2794962,Hailee Steinfeld,tt4633694,Spider-Man: Into the Spider-Verse,movie
4,nm2794962,Hailee Steinfeld,tt4701182,Bumblebee,movie
5,nm2794962,Hailee Steinfeld,tt4765284,Pitch Perfect 3,movie
6,nm2794962,Hailee Steinfeld,tt1878870,The Edge of Seventeen,movie
7,nm2794962,Hailee Steinfeld,tt2978102,Term Life,movie
8,nm2794962,Hailee Steinfeld,tt1731701,Barely Lethal,movie
9,nm2794962,Hailee Steinfeld,tt2848292,Pitch Perfect 2,movie
10,nm2794962,Hailee Steinfeld,tt3397754,Ten Thousand Saints,movie
11,nm2794962,Hailee Steinfeld,tt2488778,The Keeping Room,movie
12,nm2794962,Hailee Steinfeld,tt3398268,When Marnie Was There,movie
13,nm2794962,Hailee Steinfeld,tt2398231,The Homesman,movie
14,nm2794962,Hailee Steinfeld,tt2172934,3 Days to Kill,movie
15,nm2794962,Hailee Steinfeld,tt1731141,Ender's Game,movie
16,nm2794962,Hailee Steinfeld,tt1645131,Romeo and Juliet,movie
17,nm2794962,Hailee Steinfeld,tt2463512,Hateship Loveship,movie
18,nm2794962,Hailee Steinfeld,tt1980929,Begin Again,movie
19,nm2794962,Hailee Steinfeld,tt1403865,True Grit,movie
20,nm2794962,Hailee Steinfeld,tt2980332,Letters to Jackie: Remembering President Kennedy,movie
21,nm2794962,Hailee Steinfeld,tt15277036,Moments Within Moments,movie
22,nm2794962,Hailee Steinfeld,tt9155072,Idol,movie
23,nm2794962,Hailee Steinfeld,tt4701182,Bumblebee,movie
24,nm2794962,Hailee Steinfeld,tt2531344,Blockers,movie
25,nm2794962,Hailee Steinfeld,tt4477536,Fifty Shades Freed,movie
26,nm2794962,Hailee Steinfeld,tt4765284,Pitch Perfect 3,movie
27,nm2794962,Hailee Steinfeld,tt1292566,How to Be Single,movie
28,nm2794962,Hailee Steinfeld,tt3614530,Jem and the Holograms,movie
29,nm2794962,Hailee Steinfeld,tt2848292,Pitch Perfect 2,movie
30,nm2794962,Hailee Steinfeld,tt1980929,Begin Again,movie
31,nm4427331,Daniella Pineda,tt5884796,The Plane,movie
32,nm4427331,Daniella Pineda,tt8041270,Jurassic World: Dominion,movie
33,nm4427331,Daniella Pineda,tt2165922,Modern Persuasion,movie
34,nm4427331,Daniella Pineda,tt6393674,Before/During/After,movie
35,nm4427331,Daniella Pineda,tt8758086,Mercy Black,movie
36,nm4427331,Daniella Pineda,tt4881806,Jurassic World: Fallen Kingdom,movie
37,nm4427331,Daniella Pineda,tt6212496,Mr. Roosevelt,movie
38,nm4427331,Daniella Pineda,tt3165612,Sleeping with Other People,movie
39,nm4427331,Daniella Pineda,tt2331880,The Fitzgerald Family Christmas,movie
40,nm4427331,Daniella Pineda,tt1880418,Newlyweds,movie
41,nm2180812,Elena Satine,tt8786654,Payback,movie
42,nm2180812,Elena Satine,tt2972990,Outlaw,movie
43,nm2180812,Elena Satine,tt2611160,A Beautiful Now,movie
44,nm2180812,Elena Satine,tt3346224,Zipper,movie
45,nm2180812,Elena Satine,tt1407998,The Harsh Life of Veronica Lambert,movie
46,nm2180812,Elena Satine,tt1034305,Don't Look Up,movie
47,nm2180812,Elena Satine,tt0475936,Bar Starz,movie
48,nm2180812,Elena Satine,tt0479140,Ripple Effect,movie
49,nm5085683,Mckenna Grace,tt10554486,Rabbit Cake,movie
50,nm5085683,Mckenna Grace,tt11858066,Perfect,movie
51,nm5085683,Mckenna Grace,tt16034486,Untitled the Bad Seed/Lifetime Project,movie
52,nm5085683,Mckenna Grace,tt5264838,Crater,movie
53,nm5085683,Mckenna Grace,tt4513678,Ghostbusters: Afterlife,movie
54,nm5085683,Mckenna Grace,tt3811906,Malignant,movie
55,nm5085683,Mckenna Grace,tt11084896,Spirit Untamed,movie
56,nm5085683,Mckenna Grace,tt3152592,Scoob!,movie
57,nm5085683,Mckenna Grace,tt8350360,Annabelle Comes Home,movie
58,nm5085683,Mckenna Grace,tt4154664,Captain Marvel,movie
59,nm5085683,Mckenna Grace,tt2404465,Troop Zero,movie
60,nm5085683,Mckenna Grace,tt1677720,Ready Player One,movie
61,nm5085683,Mckenna Grace,tt5580036,"I, Tonya",movie
62,nm5085683,Mckenna Grace,tt1935897,Amityville: The Awakening,movie
63,nm5085683,Mckenna Grace,tt4795124,How to Be a Latin Lover,movie
64,nm5085683,Mckenna Grace,tt4481414,Gifted,movie
65,nm5085683,Mckenna Grace,tt1628841,Independence Day: Resurgence,movie
66,nm5085683,Mckenna Grace,tt1985949,The Angry Birds Movie,movie
67,nm5085683,Mckenna Grace,tt4196848,Mr. Church,movie
68,nm5085683,Mckenna Grace,tt4086032,Frankenstein,movie
69,nm5085683,Mckenna Grace,tt4257950,Russell Madness,movie
70,nm5085683,Mckenna Grace,tt3279176,Suburban Gothic,movie
71,nm5085683,Mckenna Grace,tt2352802,Goodbye World,movie
72,nm5085683,Mckenna Grace,tt10554486,Rabbit Cake,movie
73,nm5085683,Mckenna Grace,tt16034486,Untitled the Bad Seed/Lifetime Project,movie
74,nm5085683,Mckenna Grace,tt16034486,Untitled the Bad Seed/Lifetime Project,movie
75,nm5085683,Mckenna Grace,tt4513678,Ghostbusters: Afterlife,movie
76,nm5085683,Mckenna Grace,tt4481414,Gifted,movie
77,nm5085683,Mckenna Grace,tt6802308,The 15:17 to Paris,movie
78,nm5085683,Mckenna Grace,tt4116284,The Lego Batman Movie,movie
79,nm5085683,Mckenna Grace,tt3174376,Before I Wake,movie
80,nm5085683,Mckenna Grace,tt2179136,American Sniper,movie
81,nm5085683,Mckenna Grace,tt3297330,Good Kill,movie
82,nm0683253,Rosamund Pike,tt9893250,I Care a Lot,movie
83,nm0683253,Rosamund Pike,tt6017756,Radioactive,movie
84,nm0683253,Rosamund Pike,tt1833116,The Informer,movie
85,nm0683253,Rosamund Pike,tt2368254,A Private War,movie
86,nm0683253,Rosamund Pike,tt5466186,7 Days in Entebbe,movie
87,nm0683253,Rosamund Pike,tt4669264,Beirut,movie
88,nm0683253,Rosamund Pike,tt5478478,Hostiles,movie
89,nm0683253,Rosamund Pike,tt3296908,The Man with the Iron Heart,movie
90,nm0683253,Rosamund Pike,tt3387266,A United Kingdom,movie
91,nm0683253,Rosamund Pike,tt2948790,Return to Sender,movie
92,nm0683253,Rosamund Pike,tt2725962,What We Did on Our Holiday,movie
93,nm0683253,Rosamund Pike,tt2267998,Gone Girl,movie
94,nm0683253,Rosamund Pike,tt1626146,Hector and the Search for Happiness,movie
95,nm0683253,Rosamund Pike,tt0458413,A Long Way Down,movie
96,nm0683253,Rosamund Pike,tt1213663,The World's End,movie
97,nm0683253,Rosamund Pike,tt0463960,The Devil You Know,movie
98,nm0683253,Rosamund Pike,tt0790724,Jack Reacher,movie
99,nm0683253,Rosamund Pike,tt1646987,Wrath of the Titans,movie
100,nm0683253,Rosamund Pike,tt1053810,The Big Year,movie
101,nm0683253,Rosamund Pike,tt1634122,Johnny English Reborn,movie
102,nm0683253,Rosamund Pike,tt1371155,Made in Dagenham,movie
103,nm0683253,Rosamund Pike,tt0915463,Jackboots on Whitehall,movie
104,nm0683253,Rosamund Pike,tt1423894,Barney's Version,movie
105,nm0683253,Rosamund Pike,tt1283887,Burning Palms,movie
106,nm0683253,Rosamund Pike,tt0986263,Surrogates,movie
107,nm0683253,Rosamund Pike,tt1174732,An Education,movie
108,nm0683253,Rosamund Pike,tt0765451,Fugitive Pieces,movie
109,nm0683253,Rosamund Pike,tt0488120,Fracture,movie
110,nm0683253,Rosamund Pike,tt0419706,Doom,movie
111,nm0683253,Rosamund Pike,tt0414387,Pride & Prejudice,movie
112,nm0683253,Rosamund Pike,tt0375920,The Libertine,movie
113,nm0683253,Rosamund Pike,tt0424365,Promised Land,movie
114,nm0683253,Rosamund Pike,tt0246460,Die Another Day,movie
115,nm0683253,Rosamund Pike,tt2366308,Everything or Nothing,movie
116,nm0683253,Rosamund Pike,tt2368254,A Private War,movie
117,nm0683253,Rosamund Pike,tt1426386,Lost Angels: Skid Row Is My Home,movie
118,nm0683253,Rosamund Pike,tt0783233,Atonement,movie
119,nm0683253,Rosamund Pike,tt0915463,Jackboots on Whitehall,movie
120,nm0369513,Cole Hauser,tt14642066,Yolo County O.G,movie
121,nm0369513,Cole Hauser,tt13141250,Muti,movie
122,nm0369513,Cole Hauser,tt4029412,Panama,movie
123,nm0369513,Cole Hauser,tt5689056,The Last Champion,movie
